Column1,Domain,Phylum,Class,Order,Family,Genus
OTU70,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
OTU71,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU72,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Unclassified
OTU73,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
OTU74,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
OTU75,Bacteria,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified
OTU76,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina
OTU77,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU78,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU79,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter
OTU80,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU81,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU82,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
OTU83,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU84,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU85,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Unclassified
OTU86,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU87,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU88,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU89,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Unclassified
OTU90,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
OTU91,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Unclassified
OTU92,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
OTU93,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
OTU94,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU95,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Sporanaerobacter
OTU96,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
OTU97,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU98,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
OTU99,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Unclassified
OTU100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU101,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Unclassified
OTU102,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU103,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
OTU104,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Sporanaerobacter
OTU105,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
OTU106,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU107,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU108,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora
OTU109,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU110,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU111,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU112,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU113,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
OTU114,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
