module	CF_MAG_00002	Mycoplasma_Gadus_morhua_1	Mycoplasma_Gadus_morhua_2	Mycoplasma_HappyFish	Mycoplasma_HoloFish	Mycoplasma_NWS	Mycoplasma_haemofelis_Langford	Mycoplasma_haemofelis_Ohio2	Mycoplasma_iowae	Mycoplasma_laveretus	Mycoplasma_mobile	Mycoplasma_penetrans	NWS_MAG_00002	NWS_MAG_00005	NWS_MAG_00006	NWS_MAG_00007	NWS_MAG_00008	NWS_MAG_00010	NWS_MAG_00013	Ureaplasma_diversum	Ureaplasma_urealyticum_ATCC33699	CF_MAG_00001_contigs	GCF_028765605_1_ASM2876560v1_genomic	GCF_028765575_1_ASM2876557v1_genomic	GCF_003942025_1_ASM394202v1_genomic	GCF_000196495_1_ASM19649v1_genomic	GCF_001691055_1_ASM169105v1_genomic	GCF_014163665_1_ASM1416366v1_genomic	GCF_000286935_2_ASM28693v2_genomic	GCF_001691025_1_ASM169102v1_genomic	GCF_001690985_1_ASM169098v1_genomic	GCF_001691065_1_ASM169106v1_genomic
M00346	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.3333333333333333	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.0	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.4444444444444444	0.3333333333333333	0.3333333333333333	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444
M00357	0.16666666666666666	0.0	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.0	0.16666666666666666	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.16666666666666666	0.0	0.3333333333333333	0.0	0.0	0.16666666666666666	0.16666666666666666	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
M00364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
M00366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
M00367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00368	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.16666666666666666	0.08333333333333333	0.08333333333333333	0.08333333333333333
M00374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077
M00375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142
M00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019230769230769232	0.019230769230769232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1346153846153846	0.15384615384615385	0.15384615384615385	0.1346153846153846	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385
M00377	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.2857142857142857	0.2857142857142857	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855
M00417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
M00432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00525	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.4444444444444444	0.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.4444444444444444	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666
