"","Sample","Proportion","Ct","OTU"
"141","16C","0.9715","23.53","OTU2"
"142","17C","0.99975","22.85","OTU2"
"143","18C","0.98375","24.91","OTU2"
"144","19C","0.9855","23.65","OTU2"
"145","19M","0.9245","29.7","OTU2"
"146","20C","1","22.78","OTU2"
"147","20M","0.981","30.54","OTU2"
"148","22C","0.00125","16.18","OTU2"
"149","22M","0","20.17","OTU2"
"150","23C","0.00775","19.3","OTU2"
"151","23M","0.00075","24.23","OTU2"
"152","24C","0.97925","25.63","OTU2"
"153","25C","0.203","22.23","OTU2"
"154","25M","0.0065","24.63","OTU2"
"155","26C","0","22.65","OTU2"
"156","26M","0.0055","29.75","OTU2"
"157","27C","0.99725","23.25","OTU2"
"158","27M","0.99725","28.4","OTU2"
"159","28C","0.00575","18.61","OTU2"
"160","28M","0","20.68","OTU2"
"161","29C","0.98325","26.71","OTU2"
"162","29M","0.97575","29.21","OTU2"
"163","30C","0.98825","23.94","OTU2"
"164","31C","0.93075","22.87","OTU2"
"165","31M","0.82275","30.8","OTU2"
"166","32C","0.975","26.11","OTU2"
"167","34C","0","18.5","OTU2"
"168","34M","0","19.1","OTU2"
"169","35C","0.961","24.87","OTU2"
"170","36C","0.9735","28.05","OTU2"
"171","37C","0.9925","22.89","OTU2"
"172","37M","0.978","29.18","OTU2"
"173","38C","0.99975","23.57","OTU2"
"174","38M","0.9775","28.21","OTU2"
"175","39C","0","22.48","OTU2"
"176","39M","0","22.9","OTU2"
"177","40C","0.97625","24.99","OTU2"
"178","40M","0.99075","29.08","OTU2"
"179","41C","0.05","21.83","OTU2"
"180","41M","0","25.46","OTU2"
"181","42C","1","19.62","OTU2"
"182","42M","0.223","29.88","OTU2"
"183","43C","5e-04","27.35","OTU2"
"184","44C","0.00725","27.98","OTU2"
"185","45C","0.84075","28.23","OTU2"
"186","46C","0.0675","27.92","OTU2"
"187","47C","0.99975","24.12","OTU2"
"188","47M","0.32025","33.27","OTU2"
"189","48M","0.036","28.03","OTU2"
"190","49C","0.0095","19.86","OTU2"
"191","50M","0","23.93","OTU2"
"192","51M","0.00175","34.14","OTU2"
"193","52C","0.94875","25.23","OTU2"
"194","52M","0.8895","30.43","OTU2"
"195","53C","0.78825","22.24","OTU2"
"196","54C","1","21.07","OTU2"
"197","55C","0.657","25.35","OTU2"
"198","56M","0.002","31.92","OTU2"
"199","57M","0.00025","27.24","OTU2"
"200","58M","5e-04","26.87","OTU2"
"201","60C","0.98125","26.07","OTU2"
"202","60M","0.977","27.97","OTU2"
"203","61C","0.9955","26.29","OTU2"
"204","62C","0.46","24.71","OTU2"
"205","62M","0.0055","31.1","OTU2"
"206","64C","0.00675","21.76","OTU2"
"207","65M","0.001","26.97","OTU2"
"208","66C","0.0455","23.33","OTU2"
"209","66M","0.258","36.36","OTU2"
"210","67C","0.41225","26.99","OTU2"
"211","68C","0.37475","26.1","OTU2"
"212","69C","0.56675","23.03","OTU2"
"213","69M","0","23.43","OTU2"
"214","70C","0","18.86","OTU2"
"215","71C","0.76575","25.68","OTU2"
"216","71M","0.25675","33.79","OTU2"
"217","72C","0.29625","21.47","OTU2"
"218","72M","0","32.94","OTU2"
"219","73C","0.42875","22.85","OTU2"
"220","74C","0.9445","25.92","OTU2"
"221","75C","0.88125","21.34","OTU2"
"222","76C","0.24125","21.68","OTU2"
"223","77C","0.3695","23.29","OTU2"
"224","77M","0.001","27.87","OTU2"
"225","79C","0.005","24.47","OTU2"
"226","80C","0.19975","29.4","OTU2"
"227","01C","0","19.77","contaminants"
"228","01M","0","22.57","contaminants"
"229","02C","0.003","29.82","contaminants"
"230","02M","0.7245","33.51","contaminants"
"231","03C","0","18.64","contaminants"
"232","04C","0","18.1","contaminants"
"233","04M","0","24.04","contaminants"
"234","05C","0","23.13","contaminants"
"235","05M","0.27725","34.89","contaminants"
"236","06C","0","22.59","contaminants"
"237","06M","0.03675","35.27","contaminants"
"238","07C","0.0095","28.87","contaminants"
"239","08C","0.00025","26.25","contaminants"
"240","08M","0.00225","25.89","contaminants"
"241","09C","0","22.6","contaminants"
"242","09M","0.01875","29.25","contaminants"
"243","10C","0","23.46","contaminants"
"244","10M","0.16425","31.29","contaminants"
"245","11C","0","21.69","contaminants"
"246","11M","0.01825","29.39","contaminants"
"247","12C","0","24.77","contaminants"
"248","12M","0.001","25.56","contaminants"
"249","13C","0","24.38","contaminants"
"250","13M","0.00025","24.16","contaminants"
"251","14C","0","26.11","contaminants"
"252","15C","0","18.58","contaminants"
"253","15M","0","23.07","contaminants"
"254","16C","0","23.53","contaminants"
"255","17C","0","22.85","contaminants"
"256","18C","5e-04","24.91","contaminants"
"257","19C","0","23.65","contaminants"
"258","19M","0.0455","29.7","contaminants"
"259","20C","0","22.78","contaminants"
"260","20M","0.0185","30.54","contaminants"
"261","22C","0","16.18","contaminants"
"262","22M","0","20.17","contaminants"
"263","23C","0","19.3","contaminants"
"264","23M","0","24.23","contaminants"
"265","24C","0","25.63","contaminants"
"266","25C","0","22.23","contaminants"
"267","25M","0","24.63","contaminants"
"268","26C","0","22.65","contaminants"
"269","26M","0.00275","29.75","contaminants"
"270","27C","0","23.25","contaminants"
"271","27M","0.00275","28.4","contaminants"
"272","28C","0","18.61","contaminants"
"273","28M","0","20.68","contaminants"
